date_mutation,valeur_fonciere,code_postal,nom_commune,surface_carrez,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2014-01-02,194400.0,44100,Nantes,,Appartement,84.0,4,,-1.603261,47.209692
2014-01-02,107000.0,44800,Saint-Herblain,45.8,Appartement,46.0,2,,-1.644254,47.207462
2014-01-09,208154.0,44300,Nantes,103.64,Appartement,103.0,5,,-1.5197530000000001,47.272364
2014-01-06,79000.0,44000,Nantes,26.45,Appartement,25.0,1,,-1.5513219999999999,47.216626
2014-01-02,335000.0,44300,Nantes,,Maison,118.0,5,562.0,-1.506824,47.231122
2014-01-04,67000.0,44100,Nantes,22.42,Appartement,22.0,1,,-1.5813409999999999,47.202202
2014-01-06,230000.0,44300,Nantes,,Maison,99.0,4,269.0,-1.502877,47.232062
2014-01-03,160000.0,44230,Saint-Sébastien-sur-Loire,,Maison,68.0,4,434.0,-1.487932,47.19838
2014-01-10,172000.0,44100,Nantes,75.64,Appartement,74.0,3,,-1.575381,47.230107000000004
2014-01-10,250000.0,44000,Nantes,,Appartement,19.0,1,,-1.554965,47.216934
2014-01-10,250000.0,44000,Nantes,,Appartement,20.0,1,,-1.554965,47.216934
2014-01-10,200000.0,44230,Saint-Sébastien-sur-Loire,67.64,Appartement,96.0,4,,-1.5145819999999999,47.19393
2014-01-03,200000.0,44800,Saint-Herblain,,Maison,85.0,5,501.0,-1.653568,47.21542
2014-01-09,176415.0,44300,Nantes,,Maison,53.0,2,197.0,-1.567596,47.245265
2014-01-13,430000.0,44300,Nantes,,Maison,109.0,4,365.0,-1.565056,47.239043
2014-01-15,226000.0,44300,Nantes,,Maison,110.0,5,379.0,-1.5272059999999998,47.265429
2014-01-08,149800.27,44300,Nantes,,Appartement,64.0,3,,-1.514441,47.26142
2014-01-06,155633.89,44300,Nantes,65.44,Appartement,66.0,3,,-1.514441,47.26142
2014-01-17,443000.0,44000,Nantes,,Maison,110.0,4,130.0,-1.577189,47.227827000000005
