annee,trimestre,rdb,rdb_uc,pa_rdb,pa_rdb_uc,taux_epargne,taux_epargne_financier
2018,T4,1.4,1.2,1.2,1,15.3,5.1
2018,T3,0.7,0.5,0.3,0.2,14.3,4
2018,T2,1.2,1.1,0.8,0.6,14.4,4.2
2018,T1,0,-0.1,-0.6,-0.7,13.6,3.4
2017,T4,0.8,0.6,0.3,0.1,14.3,4.3
2017,T3,0.5,0.4,0.4,0.3,14.2,4.4
2017,T2,0.7,0.5,0.6,0.5,14.3,4.4
2017,T1,0.9,0.8,0.2,0.1,14,4.3
2016,T4,0.3,0.2,0,-0.2,13.8,4.2
2016,T3,0.8,0.7,0.7,0.5,14.5,4.9
2016,T2,0.2,0.1,0.1,-0.1,13.8,4.2
2016,T1,0.3,0.1,0.6,0.4,14,4.5
2015,T4,0.5,0.4,0.7,0.5,14.5,5.1
2015,T3,0.6,0.4,0.7,0.5,14.1,4.8
2015,T2,0.2,0,-0.3,-0.4,13.8,4.5
2015,T1,0.2,0.1,0.2,0,14.2,4.9
2014,T4,0,-0.2,0,-0.2,14.4,5.1
2014,T3,0.6,0.4,0.6,0.5,14.7,5.3
2014,T2,0.4,0.2,0.5,0.4,14.5,5.1
2014,T1,1,0.8,0.7,0.6,14.6,5.1
2013,T4,-0.2,-0.4,-0.1,-0.3,13.5,3.9
2013,T3,-0.1,-0.3,-0.3,-0.4,14.2,4.7
2013,T2,0,-0.2,0,-0.1,14.4,4.8
2013,T1,0.8,0.6,0.4,0.2,14.7,5.1
2012,T4,-1.6,-1.8,-1.8,-2,14.4,4.9
2012,T3,-0.2,-0.4,-0.2,-0.4,16.2,6.8
2012,T2,0.5,0.4,0.3,0.1,16.3,6.8
2012,T1,0.7,0.6,0.1,-0.1,15.8,6.3
2011,T4,0.3,0.1,-0.1,-0.2,15.9,6.3
2011,T3,0,-0.2,-0.2,-0.4,15.7,6
2011,T2,0.6,0.4,0.1,-0.1,16,6.3
2011,T1,0.5,0.3,-0.2,-0.4,14.9,5.3
2010,T4,0.4,0.2,0,-0.2,15.6,6
2010,T3,0.8,0.6,0.6,0.4,16.2,6.8
