annee,trimestre,rdb,rdb_uc,pa_rdb,pa_rdb_uc,taux_epargne,taux_epargne_financier,periode
2000,T1,100.0,100.0,100.0,100.0,100.0,100.0,2000-T1
2000,T2,101.4,101.2,100.9,100.7,113.0,104.0,2000-T2
2000,T3,102.3126,101.9084,101.10180000000001,100.5993,127.351,107.744,2000-T3
2000,T4,106.3027914,105.5771024,104.23595580000001,103.5166797,146.581001,114.20864,2000-T4
2001,T1,106.09018581720001,105.1547939904,103.81901197680001,102.8955796218,167.10234114,119.57644608,2001-T1
2001,T2,106.83281711792041,105.680567960352,103.71519296482322,102.58689288293459,189.49405485276,124.23992747711999,2001-T2
2001,T3,108.64897500892506,107.26577647975728,105.37463605226039,103.92052249041274,216.40221064185192,129.9549641410675,2001-T3
2001,T4,109.62681578400539,108.01663691511558,106.428382412783,104.75188667033603,248.64614002748786,136.97253220468517,2001-T4
2002,T1,110.50383031027744,108.66473673660627,106.64123917760855,104.75188667033603,285.44576875155605,144.23207641153348,2002-T1
2002,T2,111.27735712244937,109.2080604202893,107.2810866126742,105.17089421701738,327.97718829553787,151.87637646134476,2002-T2
2002,T3,112.05629862230651,109.75410072239075,107.81749204573757,105.38123600545141,376.1898349749819,159.62207166087333,2002-T3
2002,T4,114.85770608786417,112.27844503900573,110.18947687074379,107.48886072556044,436.75639840595403,170.15712839049098,2002-T4
2003,T1,113.4794136148098,110.70654680845965,107.98568733332891,105.12410578959812,498.33905058119353,177.47388491128208,2003-T1
2003,T2,114.27376951011347,111.26007954250194,108.74158714466222,105.64972631854612,572.0932300672102,186.17010527193491,2003-T2
2003,T3,115.53078097472472,112.26142025838446,109.39403666753019,106.0723252238203,654.4746551968885,194.54776000917198,2003-T3
2003,T4,116.68608878447196,113.15951162045154,109.83161281420031,106.39054219949176,750.6824295108312,203.4969569695939,2003-T4
2004,T1,117.85294967231668,114.06478771341516,110.27093926545712,106.60332328389075,859.5313817899017,211.43333829140806,2004-T1
2004,T2,119.73859686707375,115.66169474140297,111.26337771884623,107.34954654687797,986.7420262948071,220.3135384996472,2004-T2
2004,T3,120.81624423887742,116.47132660459279,111.93095798515931,107.77894473306549,1136.7268142916178,230.44796127063097,2004-T3
2004,T4,121.54114170431068,116.93721191101116,112.04288894314448,107.77894473306549,1298.1420219210274,238.7440878763737,2004-T4
