Code_commune_INSEE;Nom_commune;Code_postal;Libelle_acheminement;coordonnees_gps
44020;BOUGUENAIS;44340;BOUGUENAIS;47.1709061678, -1.61739752858
44047;COUERON;44220;COUERON;47.2309985029, -1.72929002573
44109;NANTES;44300;NANTES;47.2316356767, -1.54831008605
44204;THOUARE SUR LOIRE;44470;THOUARE SUR LOIRE;47.2763256866, -1.43162198248
44074;INDRE;44610;INDRE;47.1985008197, -1.6717810311
44109;NANTES;44100;NANTES;47.2316356767, -1.54831008605
44114;ORVAULT;44700;ORVAULT;47.2739815478, -1.62323898524
44190;ST SEBASTIEN SUR LOIRE;44230;ST SEBASTIEN SUR LOIRE;47.2031024794, -1.4992042742
44109;NANTES;44200;NANTES;47.2316356767, -1.54831008605
44143;REZE;44400;REZE;47.1762338904, -1.54966399893
44150;ST AIGNAN GRANDLIEU;44860;ST AIGNAN GRANDLIEU;47.1331072085, -1.62317141788
44166;ST JEAN DE BOISEAU;44640;ST JEAN DE BOISEAU;47.1940918482, -1.71963718328
44171;ST LEGER LES VIGNES;44710;ST LEGER LES VIGNES;47.1429694401, -1.7140364404
44172;STE LUCE SUR LOIRE;44980;STE LUCE SUR LOIRE;47.2536231327, -1.4728987153
44198;LES SORINIERES;44840;LES SORINIERES;47.1414647152, -1.5202224711
44009;BASSE GOULAINE;44115;BASSE GOULAINE;47.2120137336, -1.46246852595
44024;BRAINS;44830;BRAINS;47.1701591492, -1.72606479691
44026;CARQUEFOU;44470;CARQUEFOU;47.3017191833, -1.47277200095
44035;LA CHAPELLE SUR ERDRE;44240;LA CHAPELLE SUR ERDRE;47.3035629617, -1.56078596697
44109;NANTES;44000;NANTES;47.2316356767, -1.54831008605
44162;ST HERBLAIN;44800;ST HERBLAIN;47.2243762412, -1.63434818692
44194;SAUTRON;44880;SAUTRON;47.273226935, -1.6804726586
44018;BOUAYE;44830;BOUAYE;47.1473396882, -1.6725437059
44094;MAUVES SUR LOIRE;44470;MAUVES SUR LOIRE;47.3161301081, -1.40277407662
44101;LA MONTAGNE;44620;LA MONTAGNE;47.1849548503, -1.6848281963
44120;LE PELLERIN;44640;LE PELLERIN;47.2229017049, -1.8250130027
44215;VERTOU;44120;VERTOU;47.1603732625, -1.47052291749
